X,Specimen.Number,Alternative.tube.info,DNA.Concentration..ng.uL.,Species,LocalityInformation,Latitude,Longitude,Sex,Date,county,state,country,notes
148,ANMO4921,NA,NA,arizonae,ANMO1,27.4425,-102.3645,F,7/23/21,Ocampo,Coahuila,México,
149,ANMO4922,NA,NA,arizonae,ANMO1,27.4425,-102.3645,M,7/23/21,Ocampo,Coahuila,México,
150,ANMO4925,NA,NA,marmoratus,ANMO1,26.42193,-102.56152,F,7/24/21,San Pedro,Coahuila,México,
151,ANMO4926,NA,NA,marmoratus,ANMO1,26.42193,-102.56152,M,7/24/21,San Pedro,Coahuila,México,
152,ANMO4927,NA,NA,marmoratus,ANMO1,26.42193,-102.56152,F,7/24/21,San Pedro,Coahuila,México,
153,ANMO4938,NA,NA,marmoratus,ANMO1,25.5661,-102.92725,M,7/25/21,Viesca,Coahuila,México,
154,ANMO4939,NA,NA,marmoratus,ANMO1,25.5661,-102.92725,M,7/25/21,Viesca,Coahuila,México,
155,ANMO4940,NA,NA,marmoratus,ANMO1,25.5661,-102.92725,F,7/25/21,Viesca,Coahuila,México,
156,ANMO4942,NA,NA,marmoratus,ANMO1,27.72489,-104.90473,M,7/26/21,Camargo,Chihuahua,México,
157,ANMO1011,NA,NA,deppii,ANMO2,16.74138889,-93.02505556,NA,NA,Chiapa de Corzo,Chiapas,México,
158,ANMO2203,NA,NA,deppii,ANMO2,16.34666667,-97.09258333,NA,NA,San Pedro Juchatengo,Oaxaca,México,
159,ANMO2490,NA,104.19,deppii,ANMO2,15.82925,-97.03530556,NA,NA,Santa María Colotepec,Oaxaca,México,
160,ANMO2502,NA,99.2,deppii,ANMO2,15.78816667,-96.14213889,NA,NA,Santa María Huatulco,Oaxaca,México,
161,ANMO2509,NA,99.8,deppii,ANMO2,15.79380556,-96.12713889,NA,NA,Santa María Huatulco,Oaxaca,México,
162,ANMO2510,NA,99.9,deppii,ANMO2,15.79380556,-96.12713889,NA,NA,Santa María Huatulco,Oaxaca,México,
163,ANMO2547,NA,108.1,deppii,ANMO2,18.67213889,-92.16261111,NA,NA,Carmen,Campeche,México,
164,ANMO2574,NA,99.11,deppii,ANMO2,18.21375,-94.01269444,NA,NA,Cárdenas,Tabasco,México,
165,ANMO2580,NA,104.6,deppii,ANMO2,18.16047222,-94.37536111,NA,NA,Coatzacoalcos,Veracruz,México,
166,ANMO2599,NA,105.4,deppii,ANMO2,18.67825,-95.55761111,NA,NA,Alvarado,Veracruz,México,
167,ANMO2601,NA,105.5,deppii,ANMO2,18.73361111,-95.68625,NA,NA,Alvarado,Veracruz,México,
168,ANMO2808,NA,105.18,deppii,ANMO2,19.43880556,-96.32158333,NA,NA,Úrsulo Galván,Veracruz,México,
169,ANMO2814,NA,47.5,deppii,ANMO2,19.85722222,-96.46305556,NA,NA,Alto Lucero de Gutiérrez Barrios,Veracruz,México,
170,ANMO2823,NA,NA,deppii,ANMO2,16.18922222,-93.84908333,NA,NA,Tonalá,Chiapas,México,
171,ANMO2857,NA,NA,deppii,ANMO2,16.60888,-96.00869,NA,NA,Nejapa de Madero,Oaxaca,México,
172,ANMO2904,NA,419,deppii,ANMO2,16.75044444,-93.45752778,NA,NA,Ocozocoautla de Espinosa,Chiapas,México,
