"","Category","ID","Colector","# colector","Species","Subspecies","Clade","Clade map","State/Country","Locality","Latitude","Longitude","Elevation","Sex","Age","Extraction notebook","Extraction sample","Box new","Cell new","Plate","Well","Quality","Photo CJPV","Photo UH","Vol","ng/μl","μl p/500 ng","corrected # ANMO","Qual + Qu","Id map","Id mapa","Morphology","Comments"
"181","Disc NT NQ",NA,"JMM","233","hyperythra",NA,NA,NA,"BC Sur",NA,NA,NA,NA,NA,NA,NA,NA,"CARD","I9",NA,NA,"Poor. Very little",NA,"UH1",NA,NA,NA,NA,"Bad",NA,NA,"Gone",NA
"182","T Q",NA,"EPR","1222","guttata","guttata","guttata","15-","Ver","Coatzacoalcos",NA,NA,NA,NA,NA,NA,NA,"1","F3",1,"D12","Good. Lots degraded dna","4,23","UH5",NA,"81.400000000000006",6.14250614250614,NA,"R*","15-R*","EPR1222",NA,NA
"183","T Q",NA,"IDF","194","guttata","flavilineata","wrong clade (d d costa Chis-CR)","d d 2-","Chis","Carretera Mex 200 Pijijiapan-Mapastepec",15.63475,-93.1263055555555,NA,NA,NA,NA,NA,"1","F5",1,"E2","Good. Lots degraded dna","1,19","UH5",NA,"79",6.32911392405063,NA,"R*","d d 2-R*","IDF194",NA,NA
"184","T Q",NA,"ANMO","2814","deppii","schizophora","db F P Delgada-Tecolutla","13-","Ver","Faro Punta Delgada",19.8572222222222,-96.4630555555556,NA,NA,NA,NA,NA,"1","F7",1,"E4","Good. Lots degraded dna","3,29","UH5",NA,"78",6.41025641025641,NA,"R*","13-R*","ANMO2814",NA,NA
"185","T Q",NA,"ANMO","916","guttata","flavilineata","gf-gi Cintalapa-P. Escondido+","14-","Chis","Aprox km 194.5 de la carretera Arriaga-Tapanatepec, o aprox 13 km por carretera de Arriaga hacia Tapanatepec",16.2244,-94.0124,NA,NA,NA,NA,NA,"1","G1",1,"E7","Good. Lots degraded dna","3,20","UH5",NA,"76.8",6.51041666666667,NA,"R*","14-R*","ANMO916",NA,NA
"186","T Q",NA,"UOGV","1020","guttata","guttata","guttata","15-","Ver","Arbolillo, playa de Alvarado",18.8189166666667,-95.8356944444444,NA,NA,NA,NA,NA,"1","G2",1,"E8","Regular. Lots degraded dna","1,27","UH5",NA,"76.2",6.56167979002625,NA,"R*","15-R*","UOGV1020",NA,NA
"187","T Q",NA,"ANMO","2808","deppii","deppii","dr V Rica-L Tejada","10-","Ver","Chachalacas",19.4388055555556,-96.3215833333333,NA,NA,NA,NA,NA,"1","G3",1,"E9","Regular. Some degraded dna",NA,"UH2","50","75.5",6.62251655629139,NA,"R*","10-R*","ANMO2808",NA,NA
"188","T Q",NA,"ANMO","462","guttata","immutabilis","gi NW Gro","17-","Gro","Mpio. Atoyac de Alvarez, Cacalutla",17.1277333333333,-100.35795,NA,NA,NA,NA,NA,"1","G4",1,"E10","Regular. Lots degraded dna","1,9","UH5",NA,"74.599999999999994",6.70241286863271,563,"R*","17-R*","ANMO462",NA,NA
"189","Disc T Q",NA,"MSM","430","deppii","deppii",NA,NA,"Hond",NA,NA,NA,NA,NA,NA,NA,NA,"CARD","C1",NA,NA,"Bad. Very little","1,21",NA,"20","13.9",35.9712230215827,NA,"Bad",NA,NA,"extraction",NA
"190","T Q",NA,"UOGV","968","guttata","flavilineata","wrong clade (g g)","g g 15-","Chis","km 16 carretera Mex 190 Tiltepec-Cintalapa",16.4363333333333,-93.8230833333333,NA,NA,NA,NA,NA,"1","G5",1,"E11","Good. Lots degraded dna","1,26","UH5",NA,"74.400000000000006",6.72043010752688,NA,"R*","g g 15-R*","UOGV968",NA,NA
