"","BKS #","DATE","COL","SPECIES","LOCALITY"
"330",1496,"38216","BKS","Aspidoscelis tigris","AZ: Marciopa Co., immediately south I-8 exit for Sentinel (293422, 3636907)[A. t. tigris X A, t.  punctilinealis]"
"331",1497,"38216","BKS","Aspidoscelis tigris","AZ: Yuma Co., immediately north I-8 exit for Dateland (262614, 3633764)[A. t. tigris X A. t. punctilinealis]"
"332",1498,"38216","BKS","Aspidoscelis tigris","AZ: Yuma Co., immediately north I-8 exit for Dateland (262614, 3633764)[A. t. tigris X A. t. punctilinealis]"
"333",1499,"38216","BKS","Aspidoscelis tigris","AZ: Yuma Co., immediately north I-8 exit for Dateland (262614, 3633764)[A. t. tigris X A. t. punctilinealis]"
"334",1500,"38216","BKS","Aspidoscelis tigris","AZ: Yuma Co., just north I-8 exit in Mohawk Mtns  (244339, 3624725)[A. t. tigris X A.t.  punctilinealis]"
"335",1501,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., Tom Wells Rd, 1 mi NW I-10 exit (735067, 3724290)[A. t. tigris X A. t. punctilinealis]"
"336",1502,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., Tom Wells Rd, 1 mi NW I-10 exit (735067, 3724290)[A. t. tigris X A. t. punctilinealis]"
"337",1503,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., Dome Rock Rd, just south I-10 exit (747059, 3725329)[A. t. tigris X A. t. punctilinealis]"
"338",1504,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., Dome Rock Rd, just south I-10 exit (747059, 3725329)[A. t. tigris X A. t. punctilinealis]"
"339",1505,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., east of east I-10 exit for Quartsite (762330, 3728588)[A. t. tigris X A. t. punctilinealis]"
"340",1506,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., east of east I-10 exit for Quartsite (762330, 3728588)[A. t. tigris X A. t. punctilinealis]"
"341",1507,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., SR 60, just north I-10 (778115, 3728666)[intergrade A. t. tigris X A. t. punctilinealis]"
"342",1508,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., SR 60, just north I-10 (778115, 3728666)[intergrade A. t. tigris X A. t. punctilinealis]"
"343",1509,"38221","BKS","Aspidoscelis tigris","AZ: La Paz Co., Vicksburg Rd, just south I-10 (243337, 3723133)[intergrade A. t. tigris X A. t. punctilinealis]"
"344",1510,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 93, 11 mi N Kingman (755611, 3911098)"
"345",1511,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 93, 11 mi N Kingman (755611, 3911098)"
"346",1512,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 93, 11 mi N Kingman (755611, 3911098)"
"347",1513,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 93, 38 mi N Kingman (733016, 3946998)"
"348",1514,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 93, 38 mi N Kingman (733016, 3946998)"
"349",1515,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 93, 38 mi N Kingman (733016, 3946998)"
"350",1516,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., Stockton Hill Rd, 20 mi N Kingman (768402, 3931248)"
"351",1517,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., Stockton Hill Rd, 20 mi N Kingman (768402, 3931248)"
"352",1518,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., Stockton Hill Rd, 20 mi N Kingman (768402, 3931248)"
"353",1519,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., Stockton Hill Rd, 20 mi N Kingman (768402, 3931248)"
"354",1520,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., Stockton Hill Rd, 20 mi N Kingman (768402, 3931248)"
"355",1521,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., Stockton Hill Rd, 20 mi N Kingman (768402, 3931248)"
"356",1522,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., Stockton Hill Rd, 20 mi N Kingman (768402, 3931248)"
"357",1523,"38227","BKS","Aspidoscelis tigris","AZ: Mohave Co., Stockton Hill Rd, 20 mi N Kingman (768402, 3931248)"
"358",1524,"38228","BKS","Aspidoscelis tigris","AZ: Mohave Co., Silver Creek, E Bullhead City (724604, 3884425)"
"359",1525,"38228","BKS","Aspidoscelis tigris","AZ: Mohave Co., Silver Creek, E Bullhead City (724604, 3884425)"
"360",1526,"38228","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 68, E slope Black Mtns (742868, 3900792)"
"361",1527,"38228","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 68, E slope Black Mtns (742868, 3900792)"
"362",1528,"38228","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 68, E slope Black Mtns (742868, 3900792)"
"363",1529,"38228","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 68, E slope Black Mtns (742868, 3900792)"
"364",1530,"38228","BKS","Aspidoscelis tigris","AZ: Mohave Co., SR 68, E slope Black Mtns (742868, 3900792)"
"365",1531,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Painted Rock Rd, So. exit, I-8 (316000, 3642411)"
"366",1532,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Painted Rock Rd, So. exit, I-8 (316000, 3642411)"
"367",1533,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Painted Rock Rd, So. exit, I-8 (316000, 3642411)"
"368",1534,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Painted Rock Rd, So. exit, I-8 (316000, 3642411)"
"369",1535,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Sentinel, 1 mi. No. exit I-8 (292675, 3639656)"
"370",1536,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Sentinel, 1 mi. No. exit I-8 (292675, 3639656)"
"371",1537,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Sentinel, 1 mi. No. exit I-8 (292675, 3639656)"
"372",1538,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Sentinel, 1 mi. No. exit I-8 (292675, 3639656)"
"373",1539,"38234","BKS","Aspidoscelis tigris","AZ: Maricopa Co., Sentinel, 1 mi. No. exit I-8 (292675, 3639656)"
"374",1540,"38234","BKS","A. t. tigris","AZ: Yuma Co., Ave 8, 1 mi So. exit I-8 (734832, 3616296)"
"375",1541,"38234","BKS","A. t. tigris","AZ: Yuma Co., Ave 8, 1 mi So. exit I-8 (734832, 3616296)"
"376",1542,"38235","BKS","A. t. tigris","AZ: Yuma Co., Ave 8, 1 mi So. exit I-8 (734832, 3616296)"
"377",1543,"38235","BKS","A. t. tigris","AZ: Yuma Co., Ave 8, 1 mi So. exit I-8 (734832, 3616296)"
"378",1544,"38235","BKS","A. t. tigris","AZ: Yuma Co., Ave 8, 1 mi So. exit I-8 (734832, 3616296)"
"379",1545,"38235","BKS","A. tigris","AZ: Yuma Co., Foothills Rd, 1 mi SE exit I-8 (745202, 3616595)"
"380",1546,"38235","BKS","A. tigris","AZ: Yuma Co., Foothills Rd, 1 mi SE exit I-8 (745202, 3616595)"
"381",1547,"38241","BKS","A. t. punctilinealis","AZ: Maricopa Co., Vekol Wash, 0.5 mi S I-8 (382756, 3633927)"
"382",1548,"38241","BKS","A. t. punctilinealis","AZ: Maricopa Co., Vekol Wash, 0.5 mi S I-8 (382756, 3633927)"
"383",1549,"38241","BKS","A. t. punctilinealis","AZ: Maricopa Co., Vekol Wash, 0.5 mi S I-8 (382756, 3633927)"
"384",1550,"38241","BKS","A. t. punctilinealis","AZ: Maricopa Co., Vekol Wash, 0.5 mi S I-8 (382756, 3633927)"
"385",1551,"38241","BKS","A. t. punctilinealis","AZ: Maricopa Co., Vekol Wash, 0.5 mi S I-8 (382756, 3633927)"
"386",1552,"38241","BKS","A. t. punctilinealis","AZ: Maricopa Co., mi. marker 131, N side I-8 (360999, 3640604)"
"387",1553,"38241","BKS","Aspi. t. punctilinealis","AZ: Maricopa Co., mi. marker 131, N side I-8 (360999, 3640604)"
"388",1554,"38241","BKS","Aspi. t. punctilinealis","AZ: Maricopa Co., mi. marker 131, N side I-8 (360999, 3640604)"
