"","ID","...2","...3","Colector","# colector","Especie","Subespecie","Type loc","Clado","Estado","Municipio","Localidad","Latitud","Longitud","Elevación","Sexo","Edad","ExtractionLibro","ExtractionSample","Box","Cell","Q hmw","Q deg","Photo","Vol","ng/μl","ul p/500 ng","Comentarios","Status","Sample","...31"
"87",44,"√",NA,"UOGV","1484","costata","costata",NA,"costata4","Guerrero","Eduardo Neri","Camino a la Mina, Mexcala","17.923749999999998","-99.616","528","?",NA,"Sandra",NA,1,"A8","High","High","44","80","112",4.46428571428571,NA,"R*","Extraction",NA
"88",45,"√",NA,"ISZ","609","communis","communis",NA,NA,"Michoacán","Mugica","Aprox. 8.3 km al SW de Nueva Italia","18.979939999999999","-102.14849","347","Macho","Adulto","A5","6.6",2,"F1","Intermediate","Low","45","150","23.6",21.1864406779661,NA,"R*","Extraction",NA
"89",45,NA,NA,"ISZ","609","communis","communis",NA,NA,"Michoacán","Mugica","Aprox. 8.3 km al SW de Nueva Italia","18.979939999999999","-102.14849","347","Macho","Adulto",NA,NA,3,"E1",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"90",46,NA,NA,"JAC","30458","communis","communis","√",NA,"Colima","Comala","Comala","19.32095","-103.75861","599","?",NA,"Ya Extraída",NA,NA,NA,"No","No","46","250","NO",NA,NA,"Bad","Extraction",NA
"91",46,NA,NA,"JAC","30458","communis","communis","√",NA,"Colima","Comala","Comala","19.32095","-103.75861","599","?",NA,NA,NA,3,"E2",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"92",47,"√",NA,"ISZ","636","communis","communis",NA,NA,"Colima","Manzanillo","Cerca de El Naranjo, aprox. 15 km al NW de Manzanillo","19.124970000000001","-104.40788999999999","3","Macho","Adulto","A5","4.5999999999999996",1,"C4","High","Intermediate","47","120","99",5.05050505050505,NA,"R*","Extraction",NA
"93",47,NA,NA,"ISZ","637","communis","communis",NA,NA,"Colima","Manzanillo","Cerca de El Naranjo, aprox. 15 km al NW de Manzanillo","19.124970000000001","-104.40788999999999","3","Hembra","Adulto",NA,NA,3,"E3",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"94",48,"√",NA,"JAC","24111","communis","communis",NA,NA,"Jalisco","Jilotlán de los Dolores","Near Tepalcatepec","19.24372","-102.86725","479","Macho","Adulto","A6","B60.2",1,"G9","Intermediate","Intermediate","48","200","54.6",9.15750915750916,NA,"R*","Extraction",NA
"95",48,NA,NA,"JAC","24111","communis","communis",NA,NA,"Jalisco","Jilotlán de los Dolores","Near Tepalcatepec","19.24372","-102.86725","479","Macho","Adulto",NA,NA,3,"E4",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"96",49,"√",NA,"ANMO","3076","communis x  zweifeli?",NA,NA,"communis x  zweifeli?","Michoacán","Ziracuaretiro","Camino de Ziracuaretiro a Taretán; entre El Patuán y Taretán","19.393083333333301","-101.92144444444445","1270","Macho","Adulto","A5","3.11",1,"E2","High","Intermediate","49","80","79",6.32911392405063,NA,"R*","Extraction",NA
"97",49,NA,NA,"ANMO","3076","communis x  zweifeli?",NA,NA,"communis x  zweifeli?","Michoacán","Ziracuaretiro","Camino de Ziracuaretiro a Taretán; entre El Patuán y Taretán","19.393083333333301","-101.92144444444445","1270","Macho","Adulto",NA,NA,3,"E5",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"98",50,"√",NA,"ANMO","3078","communis x  zweifeli?",NA,NA,"communis x  zweifeli?","Michoacán","Ziracuaretiro","Camino de Ziracuaretiro a Taretán; entre El Patuán y Taretán","19.393083333333301","-101.92144444444445","1270","Hembra","Adulto","Nicté",NA,1,"F2","Intermediate","Intermediate","50","50","67.599999999999994",7.39644970414201,NA,"R*","Extraction",NA
"99",50,NA,NA,"ANMO","3078","communis x  zweifeli?",NA,NA,"communis x  zweifeli?","Michoacán","Ziracuaretiro","Camino de Ziracuaretiro a Taretán; entre El Patuán y Taretán","19.393083333333301","-101.92144444444445","1270","Hembra","Adulto",NA,NA,3,"E6",NA,NA,NA,NA,NA,NA,NA,"superfluous bkp","Tissue",NA
"100",51,"√",NA,"OHG","5","costata","zweifeli",NA,"zweifeli","Estado de México",NA,"Bejucos","18.778908000000001","-100.42791800000001","?","Hembra","Adulto","A5","95.1",2,"A4","Low","No","51","20","42",11.9047619047619,NA,"R","Extraction",NA
"101",51,"√",NA,"OHG","6","costata","zweifeli",NA,"zweifeli","Estado de México",NA,"Bejucos","18.778908000000001","-100.42791800000001","?","Hembra","Subadulto",NA,NA,1,"A7","High","No","UH1","98","112",4.46428571428571,NA,"R","Extraction",NA
"102",52,"√",NA,"OHG","14","costata","zweifeli",NA,"zweifeli","Guerrero",NA,"Zacatlán","18.313610000000001","-99.900094999999993","?","Macho","Adulto",NA,NA,1,"E6","High","No","UH1","98","72.8",6.86813186813187,NA,"R","Extraction",NA
"103",52,"√",NA,"OHG","15","costata","zweifeli",NA,"zweifeli","Guerrero",NA,"Zacatlán","18.313610000000001","-99.900094999999993","?","Macho","Adulto","A5","95.5",2,"B6","Low","No","52","25","37.799999999999997",13.2275132275132,NA,"R","Extraction",NA
"104",53,"√",NA,"ANMO","3103","costata","zweifeli",NA,"zweifeli","Guerrero","Tlapehuala","Carretera Arcelia-Cd. Altamirano, monumento a Lázaro Cárdenas","18.281916666666699","-100.44555555555556","374","Macho","Adulto","A5","3.12",1,"I8","High","High","53","100","43.2",11.5740740740741,NA,"R*","Extraction",NA
"105",53,NA,NA,"ANMO","3104","costata","zweifeli",NA,"zweifeli","Guerrero","Tlapehuala","Carretera Arcelia-Cd. Altamirano, monumento a Lázaro Cárdenas","18.281916666666667","-100.44555555555556","374",NA,"Jóven",NA,NA,3,"E7",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"106",54,"√",NA,"OHG","8","costata","zweifeli",NA,"zweifeli","Guerrero","Coyuca de Catalán","Coyuca de Catalán","18.324864000000002","-100.69868200000001","?","Macho","Adulto","A5","95.2",2,"C6","Low","Low","54","25","34.6",14.4508670520231,NA,"R","Extraction",NA
"107",54,NA,NA,"OHG","4","costata","zweifeli",NA,"zweifeli","Guerrero","Coyuca de Catalán","Coyuca de Catalán","18.324864000000002","-100.69868200000001","?","Macho","Adulto",NA,NA,3,"E8",NA,NA,NA,NA,NA,NA,NA,NA,"Tissue",NA
"108",55,"√",NA,"CDR","259A","costata","occidentalis",NA,"occidentalis1","Jalisco","Tlajomulco de Zuñiga","Instituto de Biotecnología Animal, CUCBA, U de G, ""Rancho La Cofradia"", Loc. Pueblo La Cofradia, Calle Juárez No. 4","20.471364000000001","-103.558876","1528","Hembra","Subadulto",NA,NA,2,"E6","High","No","UH1","20-23","25.6",19.53125,NA,"R","Extraction",NA
"109",55,NA,NA,"CDR","259A","costata","occidentalis",NA,"occidentalis1","Jalisco","Tlajomulco de Zuñiga","Instituto de Biotecnología Animal, CUCBA, U de G, ""Rancho La Cofradia"", Loc. Pueblo La Cofradia, Calle Juárez No. 4","20.471364000000001","-103.558876","1528","Hembra","Adulto","A5","3.2",NA,NA,"Low","Low","55","30","10.7",46.7289719626168,NA,"Bad","Extraction",NA
